Grand Marais,Grand Marais,"Grand Marais, MN",,MN,US,4/22/17,,,0,,general protestors,March for Science,1,march; rally,,,,,,http://www.startribune.com/thousands-expected-at-minnesota-s-march-for-science/420145923/,
Rochester,Rochester,"Rochester, MN",Peace Plaza to Mayo Park; back to Peace Plaza,MN,US,4/22/17,an estimated 900,900,900,900,general protestors,March for Science,1,march; rally,0,0,0,0,1,http://www.postbulletin.com/news/local/rochester-march-supports-science-environment/article_7b948ffd-d237-56fd-9edf-1487c7da93ef.html,
Hattiesburg,Hattiesburg,"Hattiesburg, MS",,MS,US,4/22/17,,,0,,general protestors,March for Science,0,,,,,,1,https://www.usnews.com/news/best-states/mississippi/articles/2017-04-22/science-marches-planned-in-3-mississippi-cities,
Long Beach,Long Beach,"Long Beach, MS",march to the University of Southern Mississippi's Gulf Park Campus,MS,US,4/22/17,about 100,100,100,100,general protestors,March for Science,0,march; rally,0,0,0,0,1,http://www.wlox.com/story/35218890/march-for-science-energizes-hundreds-of-protesters-in-long-beach,http://www.sunherald.com/news/local/counties/harrison-county/article146217724.html
Oxford,Oxford,"Oxford, MS","the University of Mississippi to the Square; march through the Grove, headed east on University Avenue, then north on South Lamar Boulevard",MS,US,4/22/17,Approx. 100,100,100,100,general protestors,March for Science,0,march; rally,0,0,0,0,1,http://www.oxfordeagle.com/2017/04/23/oxford-demonstrators-march-in-support-of-science/,
Columbia,Columbia,"Columbia, MO",Eighth Street and Peace Park; rally at the Boone County Courthouse amphitheater ,MO,US,4/22/17,hundreds,200,200,200,March for Science in Mid-Missouri,March for Science,0,march; rally,0,0,0,0,1,http://www.columbiamissourian.com/news/local/mid-missourians-march-down-eighth-street-in-support-of-science/article_733810f0-279d-11e7-8cd0-0755d33654f4.html,
Joplin,Joplin,"Joplin, MO",,MO,US,4/22/17,,,0,,general protestors,March for Science,0,,,,,,1,http://www.columbiamissourian.com/news/local/mid-missourians-march-down-eighth-street-in-support-of-science/article_733810f0-279d-11e7-8cd0-0755d33654f4.html,
Kansas City,Kansas City,"Kansas City, MO","Washington Square Park, at Pershing Road and Grand Boulevard",MO,US,4/22/17,hundreds; about 3000,200,1600,3000,general protestors,March for Science,0,march; rally,0,0,0,0,1,http://fox4kc.com/2017/04/22/hundreds-in-kansas-city-join-worldwide-effort-to-march-for-science/,http://www.kansascity.com/news/local/article146194499.html
Maryville,Maryville,"Maryville, MO",,MO,US,4/22/17,,,0,,general protestors,March for Science,0,,,,,,1,http://www.columbiamissourian.com/news/local/mid-missourians-march-down-eighth-street-in-support-of-science/article_733810f0-279d-11e7-8cd0-0755d33654f4.html,
Rolla,Rolla,"Rolla, MO",,MO,US,4/22/17,,,0,,general protestors,March for Science,0,,,,,,1,http://www.columbiamissourian.com/news/local/mid-missourians-march-down-eighth-street-in-support-of-science/article_733810f0-279d-11e7-8cd0-0755d33654f4.html,
Saint Joseph,Saint Joseph,"Saint Joseph, MO",downtown,MO,US,4/22/17,dozens,24,24,24,"Ecumenical Eco-Justice, Our Revolution — St. Joseph, Persisterhood and the United Democrats Club of Northwest Missouri",March for Science,0,march; rally,0,0,0,0,1,http://www.newspressnow.com/news/local_news/st-joseph-joins-international-march-for-science/article_9785b182-fc5a-55f9-abc7-4542a9421ba0.html,
St. Louis,St. Louis,"St. Louis, MO",started at Union Station and progressed down Market Street to Luther Ely Smith Square in front of the Gateway Arch,MO,US,4/22/17,thousands,2000,2000,2000,general protestors,March for Science,0,march; rally,0,0,0,0,1,http://www.stltoday.com/news/local/education/thousands-gather-in-downtown-for-st-louis-march-for-science/article_fa0d87eb-7ff9-5230-ad8a-6ac7e78fb4aa.html,
Springfield,Springfield,"Springfield, MO",,MO,US,4/22/17,looks like almost 1000,1000,1000,1000,general protestors,March for Science,0,,,,,,1,http://www.columbiamissourian.com/news/local/mid-missourians-march-down-eighth-street-in-support-of-science/article_733810f0-279d-11e7-8cd0-0755d33654f4.html,http://www.ozarksfirst.com/news/springfield-joins-hundreds-of-cities-in-the-march-for-science/697513566
Bozeman,Bozeman,"Bozeman, MT",Montana State University’s Centennial Mall to the Gallatin County Courthouse,MT,US,4/22/17,hundreds; roughly 1000,200,600,1000,Science Policy Advocacy Network,March for Science,1,march; rally,0,0,0,0,1,http://www.bozemandailychronicle.com/news/montana_state_university/hundreds-march-for-science-in-bozeman/article_961f057c-d07a-5f1a-accb-16b40d38edef.html,
Great Falls,Great Falls,"Great Falls, MT",University of Great Falls campus,MT,US,4/22/17,more than 200,200,200,200,general protestors,March for Science,0,march; rally,0,0,0,0,1,http://www.krtv.com/story/35218394/university-of-great-falls-holds-march-for-science,
Missoula,Missoula,"Missoula, MT",Caras Park to the Orange Street Bridge and along the Kim Williams Trail,MT,US,4/22/17,hundreds,200,200,200,general protestors,March for Science,0,march; rally,0,0,0,0,1,http://missoulian.com/news/local/rallying-for-fact-based-policies-at-missoula-march-for-science/article_81bceff4-74da-5c41-82e3-a31fb18b94fd.html,
Asheville,Asheville,"Asheville, NC",Aston Park; march down Patton Ave to Vance Monument,NC,US,4/22/17,more than 2000,2000,2000,2000,general protestors,March for Science,0,march; rally,,,,,,http://www.citizen-times.com/story/news/local/2017/04/22/march-science-brings-thousands-asheville-streets/100781180/,
Beaufort,Beaufort,"Beaufort, NC",,NC,US,4/22/17,,,0,,general protestors,March for Science,0,,,,,,,http://www.journalnow.com/news/local/triad-residents-join-global-protests-to-show-of-support-for/article_84749f8e-122c-53c6-805d-4dec92054b88.html,
Charlotte,Charlotte,"Charlotte, NC",Marshall Park,NC,US,4/22/17,estimated 1000,1000,1000,1000,general protestors,March for Science,0,march; rally,0,0,0,0,1,http://www.charlotteobserver.com/news/local/article146198689.html,
Greensboro,Greensboro,"Greensboro, NC",Governmental Plaza,NC,US,4/22/17,,,0,,general protestors,March for Science,0,,,,,,,http://www.journalnow.com/news/local/triad-residents-join-global-protests-to-show-of-support-for/article_84749f8e-122c-53c6-805d-4dec92054b88.html,http://www.greensboro.com/news/local_news/march-for-science-draws-crowd-to-downtown-greensboro/article_2c79eeb9-3756-572e-8947-109b477a1ba9.html
Morganton,Morganton,"Morganton, NC",Stearling Street to Courthouse lawn,NC,US,4/22/17,,,0,,general protestors,March for Science,0,,,,,,,http://www.journalnow.com/news/local/triad-residents-join-global-protests-to-show-of-support-for/article_84749f8e-122c-53c6-805d-4dec92054b88.html,https://www.facebook.com/events/1883868008492362/?active_tab=discussion
Raleigh,Raleigh,"Raleigh, NC",Shaw University; march through downtown to Moore Square,NC,US,4/22/17,thousands,2000,2000,2000,general protestors,March for Science,0,march; rally,0,0,0,0,1,http://www.newsobserver.com/news/local/article146167409.html,http://www.indyweek.com/news/archives/2017/04/23/we-are-not-afraid-of-action-thousands-march-for-science-in-downtown-raleigh
Washington,Washington,"Washington, NC",,NC,US,4/22/17,More than 250,250,250,250,Beaufort County Indivisble,March for Science,0,,,,,,,http://www.witn.com/content/news/Thousands-attend-March-for-Science-events-420158743.html,http://www.wcti12.com/news/local-news/beaufort/250-people-march-on-science-in-washington/459105695
Wilmington,Wilmington,"Wilmington, NC",Read more here: http://www.newsobserver.com/news/local/article146167409.html#storylink=cpy,NC,US,4/22/17,,,0,,general protestors,March for Science,0,,,,,,,http://www.journalnow.com/news/local/triad-residents-join-global-protests-to-show-of-support-for/article_84749f8e-122c-53c6-805d-4dec92054b88.html,
Grand Forks,Grand Forks,"Grand Forks, ND",University Park,ND,US,4/22/17,hundreds,200,200,200,general protestors,March for Science,0,rally,0,0,0,0,1,http://www.grandforksherald.com/news/4255279-hundreds-grand-forks-join-worldwide-rallies-science,
Lincoln,Lincoln,"Lincoln, NE","Nebraska Union, 1400 R Street; march to State Capitol, 1445 K St.",NE,US,4/22/17,hundreds,200,200,200,general protestors,March for Science,1,march; rally,0,0,0,0,1,http://www.dailynebraskan.com/news/lincoln-unl-advocate-for-scientists-in-politics-with-march-for/article_c120df1a-288b-11e7-b925-a3ea79c093f3.html,
Omaha,Omaha,"Omaha, NE",Elmwood Park bandstand; to Stinson Park along 67th Street,NE,US,4/22/17,about 1000,1000,1000,1000,general protestors,March for Science,1,march; rally,0,0,0,0,1,http://www.omaha.com/news/metro/attend-march-for-science-in-omaha/article_4be28303-b5ab-5125-9db3-abf3b1a71b9a.html,http://marchforscienceomaha.org/
Concord,Concord,"Concord, NH",,NH,US,4/22/17,hundreds,200,200,200,general protestors,March for Science,0,march; rally,,,,,,"http://www.unionleader.com/Hundreds-gather-in-Concord-and-worldwide-in-celebration-of-science,-Earth-Day&template=mobileart",
Atlantic City,Atlantic City,"Atlantic City, NJ",Boardwalk,NJ,US,4/22/17,more than 250,250,250,250,general protestors,March for Science,0,march; rally,0,0,0,0,1,http://www.shorenewstoday.com/ocean_city/news/march-for-science-in-atlantic-city-looks-for-results/article_031e0703-c63f-50e1-b5fe-b031bf3b3b6b.html,
Princeton,Princeton,"Princeton, NJ",Hinds Plaza; march Witherspoon St and Nassau St to Monument Hall,NJ,US,4/22/17,more than 2000,2000,2000,2000,general protestors,March for Science,0,march; rally,0,0,0,0,1,https://planetprinceton.com/2017/04/22/at-march-for-science-in-princeton-evidence-over-ignorance/,
Trenton,Trenton,"Trenton, NJ",Trenton War Memorial; march through downtown streets to New Jersey State House Annex,NJ,US,4/22/17,about 1000,1000,1000,1000,general protestors,March for Science,0,march; rally,0,0,0,0,1,http://www.nj.com/mercer/index.ssf/2017/04/trenton_march_for_science_strikes_political_tone.html,
Albuquerque,Albuquerque,"Albuquerque, MN",Civic Plaza,MN,US,4/22/17,roughly 4000,4000,4000,4000,general protestors,March for Science,0,,0,0,0,0,1,https://www.abqjournal.com/991898/thousands-in-duke-city-march-for-science.html,
Clovis,Clovis,"Clovis, NM",,NM,US,4/22/17,,,0,,general protestors,March for Science,0,,,,,,,https://www.abqjournal.com/991898/thousands-in-duke-city-march-for-science.html,
Las Cruces,Las Cruces,"Las Cruces, NM",Plaze de las Cruces,NM,US,4/22/17,about 600,600,600,600,general protestors,March for Science,0,march; rally,0,0,0,0,1,http://www.lcsun-news.com/story/news/local/2017/04/22/march-scientists-encourage-residents-keep-asking-questions/100796596/,
Santa Fe,Santa Fe,"Santa Fe, NM",Plaza to the State Capital Building,NM,US,4/22/17,,5000,5000,5000,general protestors,March for Science,1,march; rally,,,,,,https://twitter.com/CherylRofer/status/855884506745655296,
Socorro,Socorro,"Socorro, NM",,NM,US,4/22/17,,,0,,general protestors,March for Science,0,,,,,,,https://www.abqjournal.com/991898/thousands-in-duke-city-march-for-science.html,
Silver City,Silver City,"Silver City, NM",,NM,US,4/22/17,,,0,,general protestors,March for Science,0,,,,,,,https://www.abqjournal.com/991898/thousands-in-duke-city-march-for-science.html,
Las Vegas,Las Vegas,"Las Vegas, NV",Arts District parking lot,NV,US,4/22/17,hundreds,200,200,200,general protestors,March for Science,0,rally,0,0,0,0,1,https://www.reviewjournal.com/news/science-and-technology/hundreds-turn-out-for-march-for-science-in-downtown-las-vegas/,
Reno,Reno,"Reno, NV",from the federal building at Liberty and South Virginia streets to the Civic Plaza,NV,US,4/22/17,more than 1000,1000,1000,1000,general protestors,March for Science,1,march; rally,,,,,1,http://www.kolotv.com/content/news/More-than-1000-turn-out-for-Reno-March-for-Science-420155523.html,
Binghamton,Binghamton,"Binghamton, NY",,NY,US,4/22/17,,,0,,general protestors,March for Science,0,,,,,,,email,
Buffalo,Buffalo,"Buffalo, NY","gathered at Soldier Circle; paraded up Lincoln Parkway to Delaware Park, rallied behind the Rose Garden",NY,US,4/22/17,a couple thousand,2000,2000,2000,general protestors,March for Science,0,march; rally,0,0,0,0,1,http://buffalonews.com/2017/04/22/estimated-2000-march-science-buffalo/,
Ithaca,Ithaca,"Ithaca, NY",Ithaca Commons,NY,US,4/22/17,over 500,500,500,500,general protestors,March for Science,0,rally,0,0,0,0,1,https://ithacavoice.com/2017/04/hundreds-gather-ithaca-commons-first-march-science/,
Syracuse,Syracuse,"Syracuse, NY",Clinton Square in downtown,NY,US,4/22/17,1500,1500,1500,1500,general protestors,March for Science,1,march; rally,0,0,0,0,1,http://www.syracuse.com/news/index.ssf/2017/04/hundreds_protest_assault_on_science_at_syracuses_march_for_science.html,
Rochester,Rochester,"Rochester, NY",Martin Luther King Jr Memorial Park,NY,US,4/22/17,hundreds; as many as 1750,200,975,1750,general protestors,March for Science,0,march; rally,0,0,0,0,1,http://wxxinews.org/post/rochester-advocates-join-worldwide-march-science,http://www.democratandchronicle.com/story/news/2017/04/22/march-for-science/100748772/
New York,New York,"New York, NY",march on Central Park West,NY,US,4/22/17,,20000,20000,20000,general protestors,March for Science,1,march; rally,,,,,,https://mic.com/articles/174970/photos-from-around-the-country-show-just-how-massive-the-march-for-science-really-is#.RFIH1fLBq,
Watertown,Watertown,"Watertown, NY",J.B. Wise Pavilion,NY,US,4/22/17,about 160,160,160,160,Jefferson County Democratic Committee,March for Science,1,rally,0,0,0,0,1,http://www.watertowndailytimes.com/news03/watertown-plays-host-to-march-for-science-satellite-rally-20170423,
Cleveland,Cleveland,"Cleveland, OH",Public Square,OH,US,4/22/17,nearly 8000,8000,8000,8000,general protestors,March for Science,1,,,,,,,http://www.cleveland.com/metro/index.ssf/2017/04/march_for_science_in_cleveland.html#incart_river_index,http://fox8.com/2017/04/22/thousands-gather-for-march-for-science-rally-downtown/
Columbus,Columbus,"Columbus, OH",Statehouse; High Street,OH,US,4/22/17,Around 2000,2000,3000,4000,general protestors,March for Science,0,march; rally,,,,,,http://abc6onyourside.com/news/local/rally-for-science-hits-columbus,https://twitter.com/ChemMan2013/status/855985765683277824
Dayton,Dayton,"Dayton, OH",Courthouse Square,OH,US,4/22/17,na,1200,1350,1500,general protestors,March for Science,0,march; rally,0,0,0,0,1,http://www.mydaytondailynews.com/news/local/demonstrators-march-for-science-earth-day-downtown-dayton/fHWTSofZEipwLp4lLwxJaJ/,
Mansfield,Mansfield,"Mansfield, OH",downtown,OH,US,4/22/17,,,0,,general protestors,March for Science,0,demonstration,,,,,,http://www.richlandsource.com/news/mansfield-march-for-science-engages-children-with-hands-on-activities/article_e5adebd2-2789-11e7-8e25-67837ec87643.html,
Toledo,Toledo,"Toledo, OH",International Park in East Toledo,OH,US,4/22/17,several hundred,300,300,300,general protestors,March for Science,0,march; rally,0,0,0,0,1,http://www.toledoblade.com/local/2017/04/22/Earth-Day-rally-joins-hundreds-across-U-S.html,http://nbc24.com/news/local/march-for-science-toledo
Yellow Springs ,Yellow Springs ,"Yellow Springs , OH",downtown,OH,US,4/22/17,na,25,30,35,general protestors,March for Science,0,,,,,,,onsite eyewitness,
Cincinnati,Cincinnati,"Cincinnati, OH",Fountain Square,OH,US,4/22/17,,5500,6000,6500,general protestors,March for Science,0,,,,,,,FB,
Oklahoma City,Oklahoma City,"Oklahoma City, OK",stone plaza before the state Capito,OK,US,4/22/17,more than 2000,2000,2000,2000,general protestors,March for Science,0,march; rally,,,,,,https://www.nytimes.com/2017/04/22/science/march-for-science.html?hp&action=click&pgtype=Homepage&clickSource=story-heading&module=second-column-region&region=top-news&WT.nav=top-news,
Corvallis,Corvallis,"Corvallis, OR",downtown,OR,US,4/22/17,estimated 4000 to 5000,4000,4500,5000,general protestors,March for Science,0,march; rally,0,0,0,0,1,http://www.gazettetimes.com/news/local/thousands-turn-out-for-corvallis-science-march/article_dcd992ec-31c7-54e4-b2d2-9e4df4908660.html,
Eugene,Eugene,"Eugene, OR","University of Oregon in Eugene, then marched to the federal ­courthouse",OR,US,4/22/17,estimated 1500 to 2000,1500,1750,2000,general protestors,March for Science,0,march; rally,0,0,0,0,1,http://registerguard.com/rg/news/local/35510356-75/eugene-joins-other-cities-around-the-world-in-march-for-science.html.csp,
Portland,Portland,"Portland, OR","Tom McCall Waterfront Park; The route will wrap around Jefferson Street, Fourth Avenue and Pine Street before heading down Naito again",OR,US,4/22/17,thousands,2000,2000,2000,general protestors,March for Science,1,march; rally,,,,,,http://www.oregonlive.com/portland/index.ssf/2017/04/portland_science_march_earth_day_protest.html,
Salem,Salem,"Salem, OR",state capitol,OR,US,4/22/17,more than 1000,1000,1000,1000,general protestors,March for Science,0,march; rally,0,0,0,0,1,http://www.statesmanjournal.com/story/news/2017/04/23/thousands-gather-salem-march-science/100795178/,
Beaver,Beaver,"Beaver, PA",County Courthouse,PA,US,4/22/17,,,0,,general protestors,March for Science,0, rally,0,0,0,0,1,http://www.timesonline.com/news/education/scientists-and-educators-lead-rally-for-science-in-beaver-county/html_df95c066-279e-11e7-9697-8323512516d6.html,
Bethlehem,Bethlehem,"Bethlehem, PA",Payrow Plaza next to Bethlehem City Hall,PA,US,4/22/17,more than 500,500,500,500,Lehigh Valley For All,March for Science,0,rally,0,0,0,0,1,http://www.mcall.com/news/local/bethlehem/mc-bethlehem-march-for-science-20170422-story.html,
Doylestown,Doylestown,"Doylestown, PA",Court St,PA,US,4/22/17,hundreds,200,200,200,Organized by local students primarily from the Central Bucks School District,March for Science,0,march; rally,0,0,0,0,1,http://www.theintell.com/news/local/march-for-science-draws-big-crowd-in-doylestown/article_9b211754-2605-11e7-8793-5f8d95ecf23f.html,
East Stroudsburg,East Stroudsburg,"East Stroudsburg, PA",,PA,US,4/22/17,,,0,,,March for Science,0,,,,,,,http://www.mcall.com/news/local/bethlehem/mc-bethlehem-march-for-science-20170422-story.html,
Lancaster,Lancaster,"Lancaster, PA",Penn Sq,PA,US,4/22/17,nearly 200,200,200,200,general protestors,March for Science,0,rally,0,0,0,0,1,http://lancasteronline.com/news/local/march-for-science-protesters-fill-penn-square-science-is-integral/article_e94df990-2788-11e7-badc-db3f01b14674.html,
Philadelphia,Philadelphia,"Philadelphia, PA",City Hall; to the Great Plaza at Penn’s Landing,PA,US,4/22/17,na,10000,10000,10000,general protestors,March for Science,1,march; rally,,,,,,http://www.philly.com/philly/news/To-oppose-budget-cuts-scientists-take-to-Center-City-streets.html,https://mic.com/articles/174970/photos-from-around-the-country-show-just-how-massive-the-march-for-science-really-is#.RFIH1fLBq
Pittsburgh,Pittsburgh,"Pittsburgh, PA",Bigelow Boulevard in Oakland and circled the Cathedral of Learning,PA,US,4/22/17,thousands; closer to 5000,2000,3500,5000,general protestors,March for Science,0,march; rally,0,0,0,0,1,http://www.wpxi.com/news/top-stories/march-for-science-draws-thousands-of-people-to-oakland/514982522,https://m.facebook.com/story.php?story_fbid=10212739416429954&id=1523385890
State College,State College,"State College, PA","Allen Street gates; march Pattee Mall, Curtin Road, Bigler Road, Pollock Road and ended back at the Allen Street gates",PA,US,4/22/17,more than 200,200,200,200,general protestors,March for Science,0,march; rally,0,0,0,0,1,http://www.collegian.psu.edu/news/campus/article_7e1a08c2-27a5-11e7-b9cb-dbd7e421aaf7.html,,
Providence,Providence,"Providence, RI",outside the State House,RI,US,4/22/17,hundreds,200,200,200,general protestors,March for Science,0,march; rally,0,0,0,0,1,http://wpri.com/2017/04/22/advocates-rallying-at-march-for-science-in-providence/,,
Charleston,Charleston,"Charleston, SC",Liberty Square,SC,US,4/22/17,na,2000,2000,2000,general protestors,March for Science,0,march; rally,0,0,0,0,1,https://www.facebook.com/events/803132023158349/,,
Columbia,Columbia,"Columbia, SC",State House,SC,US,4/22/17,dozens,24,24,24,general protestors,March for Science,0,rally,0,0,0,0,1,http://www.wistv.com/story/35217915/march-for-science-rally-in-columbia-a-part-of-nationwide-demonstration,,
Greenville,Greenville,"Greenville, SC",ONE City Plaza,SC,US,4/22/17,a few hundred,200,200,200,general protestors,March for Science,0,rally,0,0,0,0,1,http://www.greenvilleonline.com/story/news/local/2017/04/22/march-science-greenville-draws-many-earth-day/100781506/,,
Rapid City,Rapid City,"Rapid City, SD",,SD,US,4/22/17,closer to a thousand,1000,1000,1000,general protestors; Dakota Rural Action; Rapid City Sustainability,March for Science,0,march; rally,0,0,0,0,1,http://www.kotatv.com/content/news/March-for-Science-goes-full-stride-on-Earth-Day--420165803.html,http://www.newscenter1.tv/story/35218971/rapid-city-takes-part-in-national-march-for-science,
Sioux Falls,Sioux Falls,"Sioux Falls, SD",Carnegie Town Hall,SD,US,4/22/17,,,0,,general protestors,March for Science,0,,,,,,,http://www.argusleader.com/story/news/2017/04/22/live-10-march-science/100757994/,,
Chattanooga,Chattanooga,"Chattanooga, TN",marched from the Main Terrain Art Park to Riverfront Parkway and back,TN,US,4/22/17,About a thousand,1000,1000,1000,general protestors,March for Science,1,march; rally,,,,,,http://www.houstonchronicle.com/news/science/article/The-Latest-March-for-Science-attracts-thousands-11091330.php,,
Knoxville,Knoxville,"Knoxville, TN","march began with rally in front of Ayres Hall at University of Tennessee, before across World’s Fair Park to John Duncan Federal Office Building downtown",TN,US,4/22/17,over 300,300,300,300,general protestors,March for Science,0,march; rally,0,0,0,0,1,http://www.knoxnews.com/story/news/local/2017/04/22/hundreds-brave-rain-knoxville-march-science/100738038/,,
Memphis,Memphis,"Memphis, TN",,TN,US,4/22/17,dozens,24,24,24,general protestors,March for Science,0,rally,0,0,0,0,1,http://www.localmemphis.com/news/local-news/march-for-science/697438429,,
Nashville,Nashville,"Nashville, TN",Legislative Plaza,TN,US,4/22/17,estimated 4000,4000,4000,4000,general protestors,March for Science,1,march; rally,0,0,0,0,1,http://www.tennessean.com/story/news/2017/04/22/thousands-turn-out-nashville-march-science/100718776/,,
Amarillo,Amarillo,"Amarillo, TX",City Studios at Sunset Art Gallery,TX,US,4/22/17,about 300,300,300,300,general protestors,March for Science,0,march; rally,0,0,0,0,1,http://amarillo.com/local-news/news/2017-04-22/amarilloans-observe-earth-day-marchforscience,,
Austin,Austin,"Austin, TX",south lawn of Capitol,TX,US,4/22/17,thousands,2000,6000,10000,general protestors,March for Science,1,march; rally,0,0,0,0,1,http://kxan.com/2017/04/22/thousands-rally-in-downtown-austin-in-support-of-science/,http://www.texasmonthly.com/the-daily-post/thousands-texans-take-part-national-march-science-texas-roundup/,
Dallas,Dallas,"Dallas, TX",Dallas City Hall; ended at Fair Park,TX,US,4/22/17,na,2500,2750,3000,general protestors,March for Science,0,march; rally,0,0,0,0,1,http://www.citizen-times.com/story/news/local/2017/04/22/march-science-brings-thousands-asheville-streets/100781180/,https://www.dallasnews.com/news/science-medicine/2017/04/22/dallas-joins-600-cities-global-march-science,DPD estimate via lead organizer (web form)
Fort Worth,Fort Worth,"Fort Worth, TX",outside the University of North Texas Health Science Center; march down West 7th Street and Camp Bowie Boulevard,TX,US,4/22/17,more than 1000,1000,1000,1000,general protestors,March for Science,1,march; rally,,,,,,http://www.star-telegram.com/news/local/community/fort-worth/article146197334.html,,
Houston,Houston,"Houston, TX",from Sam Houston Park to City Hall,TX,US,4/22/17,as many as 15000,15000,15000,15000,general protestors,March for Science,1,march; rally,0,0,0,0,1,http://www.chron.com/houston/article/Thousands-of-Houston-scientists-expected-to-march-11090649.php,,
Lubbock,Lubbock,"Lubbock, TX",Louise Hopkins Underwood Center for the Arts; downtown,TX,US,4/22/17,200 plus,200,200,200,South Plains Advocates for Rights and Community,March for Science,1,rally,0,0,0,0,1,http://lubbockonline.com/education/local/health/2017-04-22/march-science-draws-200-plus-downtown-lubbock,
San Antonio,San Antonio,"San Antonio, TX",San Pedro Park,TX,US,4/22/17,more than 1700,1700,1700,1700,general protestors,March for Science,0,march; rally,0,0,0,0,1,https://therivardreport.com/scientists-supporters-turn-out-in-numbers-for-march-for-science/,
Wichita,Wichita,"Wichita, TX",,TX,US,4/22/17,,,0,,general protestors,March for Science,1,march; rally,0,0,0,0,1,http://www.newschannel6now.com/story/35217410/science-advocates-take-part-in-march-for-science,
Salt Lake City,Salt Lake City,"Salt Lake City, UT",City Creek Park to the Utah State Capitol,UT,US,4/22/17,more than 3000,3000,3000,3000,general protestors,March for Science,0,march; rally,0,0,0,0,1,http://kuer.org/post/utah-capitol-science-march-draws-thousands#stream/0,http://www.good4utah.com/news/top-stories/thousands-around-country-march-for-science-including-hundreds-in-utah/697814397
Burlington,Burlington,"Burlington, VT",UVM's Royal Tyler Theatre,VT,US,4/22/17,,,0,,general protestors,March for Science,1,,,,,,,http://digital.vpr.net/post/vermonters-join-global-march-science-events-across-state,
Montpelier,Montpelier,"Montpelier, VT",statehouse,VT,US,4/22/17,hundreds,200,200,200,general protestors,March for Science,1,,,,,,,http://digital.vpr.net/post/vermonters-join-global-march-science-events-across-state,http://www.houstonchronicle.com/news/science/article/The-Latest-March-for-Science-attracts-thousands-11091330.php
Rutland,Rutland,"Rutland, VT",library,VT,US,4/22/17,,,0,,general protestors,March for Science,1,rally,,,,,,http://www.rutlandfree.org/event/earth-dayscience-rally-10am-1230pm/,
Charlottesville,Charlottesville,"Charlottesville, VA",IX Art Park to Sprint Pavilion,VA,US,4/22/17,hundreds,200,200,200,general protestors,March for Science,0,march; rally,0,0,0,0,1,http://www.newsplex.com/content/news/Hundreds-march-for-local-March-for-Science-in-Charlottesville-420161803.html,
Norfolk,Norfolk,"Norfolk, VA",NEON arts district,VA,US,4/22/17,hundreds,200,200,200,general protestors,March for Science,0,march; rally,0,0,0,0,1,http://pilotonline.com/news/local/photos-the-march-for-science-in-norfolk/collection_3f8b796c-821e-5a1f-8e2a-0241f6dd7fca.html#6,
Williamsburg,Williamsburg,"Williamsburg, VA",Merchant's Square to Capital Building,VA,US,4/22/17,dozens; around 25,25,25,25,general protestors,March for Science,1,march; rally,0,0,0,0,1,http://www.vagazette.com/news/va-vg-dozens-gather-locally-to-protest-science-funding-cuts-20170422-story.html,
Seattle,Seattle,"Seattle, WA",Cal Anderson Park on Seattle’s Capitol Hill for the March for Science to Seattle Center,WA,US,4/22/17,several thousand,3000,3000,3000,general protestors,March for Science,1,march; rally,0,0,0,0,1,http://www.seattletimes.com/seattle-news/science/seattle-march-for-science-draws-thousands-on-earth-day-including-a-nobel-prize-winner/,
Olympia,Olympia,"Olympia, WA",,WA,US,4/22/17,,,0,,general protestors,March for Science,0,,,,,,,http://www.king5.com/news/marchers-for-science-protest-alarming-anti-science-trends/433358136,
Kennewick,Kennewick,"Kennewick, WA",,WA,US,4/22/17,,,0,,general protestors,March for Science,1,march; rally,,,,,,http://www.seattletimes.com/seattle-news/science/seattle-march-for-science-draws-thousands-on-earth-day-including-a-nobel-prize-winner/,
Coupeville,Coupeville,"Coupeville, WA",,WA,US,4/22/17,,,0,,general protestors,March for Science,1,march; rally,,,,,,http://www.seattletimes.com/seattle-news/science/seattle-march-for-science-draws-thousands-on-earth-day-including-a-nobel-prize-winner/,
Bellingham,Bellingham,"Bellingham, WA",,WA,US,4/22/17,thousands,2000,2000,2000,general protestors,March for Science,1,march; rally,0,0,0,0,1,http://www.bellinghamherald.com/news/local/article146223339.html,
Spokane,Spokane,"Spokane, WA",Riverfront Park; marched downtown,WA,US,4/22/17,hundreds,200,200,200,general protestors,March for Science,0,march; rally,0,0,0,0,1,http://www.kxly.com/news/local-news/spokane/hundreds-march-for-science-in-spokane-1/459108054,
Huntington,Huntington,"Huntington, WV",,WV,US,4/22/17,,,0,,general protestors,March for Science,0,,0,0,0,0,1,http://www.wvgazettemail.com/news-politics/20170422/hundreds-turn-out-for-science-marches-in-morgantown-huntington,
Morgantown,Morgantown,"Morgantown, WV",West Virginia University’s Woodburn Hal,WV,US,4/22/17,about 500,500,500,500,general protestors,March for Science,0,march; rally,0,0,0,0,1,http://www.wvgazettemail.com/news-politics/20170422/hundreds-turn-out-for-science-marches-in-morgantown-huntington,
Madison,Madison,"Madison, WI",James Madison Park to Library Mall,WI,US,4/22/17,na,4000,4500,5000,general protestors,March for Science,0,march; rally,0,0,0,0,1,http://www.channel3000.com/news/thousands-participate-in-madison-march-for-science/459100188,
